DATE,3MONTH,6MONTH,1YEAR,2YEAR,3YEAR,5YEAR,10YEAR
1998-10-01,4.230000019073486,4.360000133514404,4.28000020980835,4.170000076293945,4.099999904632568,4.099999904632568,4.329999923706055
2000-05-01,6.0,6.25,6.239999771118164,6.730000019073486,6.679999828338623,6.590000152587891,6.289999961853027
2000-06-01,5.739999771118164,6.269999980926514,6.320000171661377,6.610000133514404,6.559999942779541,6.440000057220459,6.199999809265137
2000-08-01,6.25,6.389999866485596,6.090000152587891,6.269999980926514,6.199999809265137,6.119999885559082,6.0
2000-09-01,6.269999980926514,6.320000171661377,6.179999828338623,6.090000152587891,6.010000228881836,5.920000076293945,5.679999828338623
2000-11-01,6.369999885559082,6.349999904632568,6.099999904632568,5.880000114440918,5.820000171661377,5.789999961853027,5.739999771118164
2000-12-01,6.230000019073486,6.190000057220459,5.929999828338623,5.619999885559082,5.550000190734863,5.460000038146973,5.519999980926514
2001-02-01,5.0,4.809999942779541,4.559999942779541,4.550000190734863,4.590000152587891,4.78000020980835,5.099999904632568
2001-03-01,4.840000152587891,4.679999828338623,4.449999809265137,4.409999847412109,4.480000019073486,4.670000076293945,4.869999885559082
2006-08-01,5.119999885559082,5.179999828338623,5.110000133514404,4.96999979019165,4.909999847412109,4.900000095367432,4.989999771118164
2006-09-01,5.019999980926514,5.099999904632568,4.989999771118164,4.769999980926514,4.699999809265137,4.679999828338623,4.730000019073486
2006-11-01,5.070000171661377,5.099999904632568,4.949999809265137,4.659999847412109,4.559999942779541,4.519999980926514,4.570000171661377
2006-12-01,5.03000020980835,5.050000190734863,4.869999885559082,4.519999980926514,4.429999828338623,4.389999866485596,4.429999828338623
2007-02-01,5.130000114440918,5.159999847412109,5.090000152587891,4.960000038146973,4.880000114440918,4.840000152587891,4.840000152587891
2007-03-01,5.150000095367432,5.110000133514404,4.949999809265137,4.630000114440918,4.539999961853027,4.5,4.559999942779541
2007-05-01,4.900000095367432,5.010000228881836,4.889999866485596,4.630000114440918,4.559999942779541,4.539999961853027,4.639999866485596
2007-08-01,4.889999866485596,4.960000038146973,4.820000171661377,4.559999942779541,4.53000020980835,4.599999904632568,4.760000228881836
2019-07-01,2.21,2.1,1.94,1.78,1.74,1.79,2.03
2019-08-01,2.07,2.04,1.88,1.73,1.67,1.68,1.9
2019-10-01,1.82,1.81,1.73,1.56,1.51,1.51,1.65
